"","X.CODIGO_ENTIDAD.NOMBRE.TIPO_GESTION.ESTADO_LICENCIAMIENTO.PERIODO_LICENCIAMIENTO.CODIGO_FILIAL.NOMBRE_FILIAL.DEPARTAMENTO_FILIAL.PROVINCIA_FILIAL.CODIGO_LOCAL.DEPARTAMENTO_LOCAL.PROVINCIA_LOCAL.DISTRITO_LOCAL.LATITUD_UBICACION.LONGITUD_UBICACION.TIPO_AUTORIZACION_LOCAL.DENOMINACION_PROGRAMA.TIPO_NIVEL_ACADEMICO.NIVEL_ACADEMICO.CODIGO_CLASE_PROGRAMA_N2.NOMBRE_CLASE_PROGRAMA_N2.TIPO_AUTORIZACION_PROGRAMA.TIPO_AUTORIZACION_PROGRAMA_LOCAL"
"4718","4718,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA,PUBLICO,LICENCIA OTORGADA,10,S,UNSA-AREQUIPA,AREQUIPA,AREQUIPA,SL01,AREQUIPA,AREQUIPA,AREQUIPA,-16.4027681,-71.5255001,AUTORIZADO POR LIC.,INGENIERIA LOGISTICA Y COMERCIO INTERNACIONAL,POSGRADO,SEGUNDA ESPECIALIDAD,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4719","4719,004,UNIVERSIDAD NACIONAL DE TRUJILLO,PUBLICO,LICENCIA OTORGADA,8,S,UNT-LA LIBERTAD,LA LIBERTAD,TRUJILLO,SL01,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1142716,-79.0383735,AUTORIZADO POR LIC.,INGENIERIA QUIMICA,PREGRADO,CARRERA PROFESIONAL,53,CIENCIAS FISICAS Y QUIMICAS,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4720","4720,055,UNIVERSIDAD PRIVADA DEL NORTE,PRIVADO,LICENCIA OTORGADA,6,F02,UPN-LIMA,LIMA,LIMA,F02L04,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-11.9841504,-77.0024242,AUTORIZADO POR LIC.,INGENIERIA CIVIL,PREGRADO,CARRERA PROFESIONAL,73,ARQUITECTURA Y CONSTRUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4721","4721,052A,UNIVERSIDAD CESAR VALLEJO,PRIVADO,LICENCIA OTORGADA,6,S,UPCV-LA LIBERTAD,LA LIBERTAD,TRUJILLO,SL01,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,-8.1293904,-79.0433213,AUTORIZADO POR LIC.,SEGUNDA ESPECIALIDAD EN ANESTESIOLOGIA,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4722","4722,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,PUBLICO,LICENCIA OTORGADA,10,S,UNMSM-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,LIMA,-12.0560257,-77.0844226,AUTORIZADO POR LIC.,LENGUA Y LITERATURA,POSGRADO,MAESTRIA,23,IDIOMAS,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4723","4723,065,UNIVERSIDAD TECNOLOGICA DEL PERU,PRIVADO,LICENCIA OTORGADA,6,S,UTP-LIMA,LIMA,LIMA,SL05,LIMA,LIMA,LIMA,-12.0624396,-77.0405951,AUTORIZADO POR LIC.,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,PREGRADO,CARRERA PROFESIONAL,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4724","4724,065,UNIVERSIDAD TECNOLOGICA DEL PERU,PRIVADO,LICENCIA OTORGADA,6,F01,UTP-AREQUIPA,AREQUIPA,AREQUIPA,F01L02,AREQUIPA,AREQUIPA,AREQUIPA,-16.4075431,-71.5423196,AUTORIZADO POR LIC.,ARQUITECTURA,PREGRADO,CARRERA PROFESIONAL,73,ARQUITECTURA Y CONSTRUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4725","4725,007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,PUBLICO,LICENCIA OTORGADA,8,S,UNALM-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,LA MOLINA,-12.0817493,-76.9431895,AUTORIZADO POR LIC.,AGRICULTURA SUSTENTABLE,POSGRADO,MAESTRIA,81,AGRICULTURA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4726","4726,030,UNIVERSIDAD RICARDO PALMA,PRIVADO,LICENCIA OTORGADA,6,S01,URP-LIMA,LIMA,LIMA,S01L01,LIMA,LIMA,SANTIAGO DE SURCO,-12.1318458,-76.9796463,AUTORIZADO POR LIC.,ESPECIALIDAD: MEDICINA OCUPACIONAL Y DEL MEDIO AMBIENTE,POSGRADO,SEGUNDA ESPECIALIDAD,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4727","4727,057,UNIVERSIDAD SAN IGNACIO DE LOYOLA,PRIVADO,LICENCIA OTORGADA,6,S,USIL-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,LA MOLINA,-12.072888,-76.9516609,AUTORIZADO POR LIC.,MULTIMEDIA Y FOTOGRAFIA PUBLICITARIA,PREGRADO,CARRERA PROFESIONAL,21,ARTE,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4728","4728,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL02,LIMA,LIMA,LA MOLINA,-12.0695303,-76.9685595,AUTORIZADO POR LIC.,CARRERA PROFESIONAL DE QUIMICA,PREGRADO,CARRERA PROFESIONAL,53,CIENCIAS FISICAS Y QUIMICAS,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4729","4729,034,UNIVERSIDAD NACIONAL DE SAN MARTIN,PUBLICO,LICENCIA OTORGADA,6,F02,UNSM-SAN MARTIN,SAN MARTIN,RIOJA,F02L01,SAN MARTIN,RIOJA,RIOJA,-6.063977832,-77.16731119,AUTORIZADO POR LIC.,EDUCACION SECUNDARIA,PREGRADO,CARRERA PROFESIONAL,12,EDUCACION SECUNDARIA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4730","4730,026,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION,PUBLICO,LICENCIA OTORGADA,6,F04,UNDAC-PASCO,PASCO,DANIEL ALCIDES CARRION,F04L01,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,-10.48990297,-76.50748952,AUTORIZADO POR LIC.,EDUCACION SECUNDARIA: TECNOLOGIA INFORMATICA Y TELECOMUNICACIONES,PREGRADO,CARRERA PROFESIONAL,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4731","4731,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL04,LIMA,LIMA,MIRAFLORES,-12.13402606,-77.02627908,AUTORIZADO POR LIC.,DOCTORADO EN CIENCIAS EN INVESTIGACION EPIDEMIOLOGICA,POSGRADO,DOCTORADO,2,SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4732","4732,039,UNIVERSIDAD ANDINA DEL CUSCO,PRIVADO,LICENCIA OTORGADA,6,S,UAC-CUSCO,CUSCO,CUSCO,SL02,CUSCO,CUSCO,CUSCO,-13.5197131,-71.977133,AUTORIZADO POR LIC.,ADMINISTRACION DE NEGOCIOS,POSGRADO,MAESTRIA,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4733","4733,035,UNIVERSIDAD NACIONAL DE UCAYALI,PUBLICO,LICENCIA OTORGADA,6,S,UNU-UCAYALI,UCAYALI,CORONEL PORTILLO,SL01,UCAYALI,CORONEL PORTILLO,CALLERIA,-8.3948987,-74.5776093,AUTORIZADO POR LIC.,MAESTRIA EN INGENIERIA DE SISTEMAS CON MENCION EN GESTION DE TECNOLOGIAS DE INFORMACION,POSGRADO,MAESTRIA,61,INFORMATICA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4734","4734,011,UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA,PUBLICO,LICENCIA OTORGADA,8,S,UNAP-LORETO,LORETO,MAYNAS,SL08,LORETO,MAYNAS,IQUITOS,-3.7527575,-73.2699785,AUTORIZADO POR LIC.,SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERIA EN SALUD PUBLICA Y COMUNITARIA,POSGRADO,SEGUNDA ESPECIALIDAD,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4735","4735,026,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION,PUBLICO,LICENCIA OTORGADA,6,S,UNDAC-PASCO,PASCO,PASCO,SL01,PASCO,PASCO,YANACANCHA,-10.6683864,-76.2527205,AUTORIZADO POR LIC.,DOCTORADO EN CIENCIAS DE LA EDUCACION,POSGRADO,DOCTORADO,19,OTROS PROGRAMAS EN EDUCACION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4736","4736,029,UNIVERSIDAD DE PIURA,PRIVADO,LICENCIA OTORGADA,8,S,UDEP-PIURA,PIURA,PIURA,SL01,PIURA,PIURA,PIURA,-5.1766923,-80.6346434,AUTORIZADO POR LIC.,INGENIERIA MECANICO - ELECTRICA,PREGRADO,CARRERA PROFESIONAL,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4737","4737,026,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION,PUBLICO,LICENCIA OTORGADA,6,F02,UNDAC-JUNIN,JUNIN,TARMA,F02L01,JUNIN,TARMA,TARMA,-11.4193347,-75.6889493,AUTORIZADO POR LIC.,ENFERMERIA,PREGRADO,CARRERA PROFESIONAL,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4738","4738,069,UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO,PRIVADO,LICENCIA OTORGADA,6,S,UCSTM-LAMBAYEQUE,LAMBAYEQUE,CHICLAYO,SL01,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.760456,-79.863203,AUTORIZADO POR LIC.,MAESTRIA EN FORMACION DIRECTIVA Y GOBIERNO DE LAS PERSONAS,POSGRADO,MAESTRIA,31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4739","4739,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,PUBLICO,LICENCIA OTORGADA,8,S,UNSAAC-CUSCO,CUSCO,CUSCO,SL01,CUSCO,CUSCO,CUSCO,-13.52193,-71.9583208,AUTORIZADO POR LIC.,EDUCACION SECUNDARIA ESPECIALIDAD CIENCIAS SOCIALES,PREGRADO,CARRERA PROFESIONAL,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4740","4740,011,UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA,PUBLICO,LICENCIA OTORGADA,8,S,UNAP-LORETO,LORETO,MAYNAS,SL07,LORETO,MAYNAS,IQUITOS,-3.753895968,-73.2524311,AUTORIZADO POR LIC.,EDUCACION SECUNDARIA, CON ESPECIALIDAD EN IDIOMAS EXTRANJEROS CON MENCION EN INGLES - ALEMAN,PREGRADO,CARRERA PROFESIONAL,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4741","4741,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL02,LIMA,LIMA,LA MOLINA,-12.0695303,-76.9685595,AUTORIZADO POR LIC.,CARRERA PROFESIONAL DE BIOLOGIA,PREGRADO,CARRERA PROFESIONAL,51,CIENCIAS BIOLOGICAS Y AFINES,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4742","4742,012,UNIVERSIDAD NACIONAL DEL ALTIPLANO,PUBLICO,LICENCIA OTORGADA,6,S,UNA-PUNO,PUNO,PUNO,SL01,PUNO,PUNO,PUNO,-15.8243805,-70.0162544,AUTORIZADO POR LIC.,CIENCIAS DE LA COMUNICACION SOCIAL,PREGRADO,CARRERA PROFESIONAL,32,PERIODISMO E INFORMACION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4743","4743,026,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION,PUBLICO,LICENCIA OTORGADA,6,S,UNDAC-PASCO,PASCO,PASCO,SL01,PASCO,PASCO,YANACANCHA,-10.6683864,-76.2527205,AUTORIZADO POR LIC.,ADMINISTRACION,PREGRADO,CARRERA PROFESIONAL,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4744","4744,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL03,LIMA,LIMA,SAN ISIDRO,-12.091066,-77.052041,AUTORIZADO POR LIC.,PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERIA EN CUIDADO CARDIOVASCULAR,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4745","4745,008,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PRIVADO,LICENCIA OTORGADA,10,S,PUCP-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SAN MIGUEL,-12.0693438,-77.080122,AUTORIZADO POR LIC.,EDUCACION SECUNDARIA CON ESPECIALIDAD EN LENGUA Y LITERATURA,PREGRADO,CARRERA PROFESIONAL,12,EDUCACION SECUNDARIA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4746","4746,062,UNIVERSIDAD CATOLICA SAN PABLO,PRIVADO,LICENCIA OTORGADA,6,S,UCSP-AREQUIPA,AREQUIPA,AREQUIPA,SL01,AREQUIPA,AREQUIPA,AREQUIPA,-16.3901384,-71.5357161,AUTORIZADO POR LIC.,DERECHO,PREGRADO,CARRERA PROFESIONAL,42,DERECHO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4747","4747,067A,UNIVERSIDAD CONTINENTAL,PRIVADO,LICENCIA OTORGADA,6,F01,UCONTINENTAL-AREQUIPA,AREQUIPA,AREQUIPA,F01L01,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,-16.4341104,-71.5219477,AUTORIZADO POR LIC.,ADMINISTRACION Y GESTION PUBLICA,PREGRADO,CARRERA PROFESIONAL,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4748","4748,065,UNIVERSIDAD TECNOLOGICA DEL PERU,PRIVADO,LICENCIA OTORGADA,6,S,UTP-LIMA,LIMA,LIMA,SL04,LIMA,LIMA,LIMA,-12.0704665,-77.0367812,AUTORIZADO POR LIC.,INGENIERIA DE SOFTWARE,PREGRADO,CARRERA PROFESIONAL,61,INFORMATICA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4749","4749,072,UNIVERSIDAD SENOR DE SIPAN,PRIVADO,LICENCIA OTORGADA,6,S,USS-LAMBAYEQUE,LAMBAYEQUE,CHICLAYO,SL02,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.7720491,-79.8368835,AUTORIZADO POR LIC.,MAESTRIA EN GESTION DE EMPRESAS TURISTICAS Y HOTELERAS,POSGRADO,MAESTRIA,1,SERVICIOS PERSONALES,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4750","4750,013,UNIVERSIDAD NACIONAL DE PIURA,PUBLICO,LICENCIA OTORGADA,6,S,UNP-PIURA,PIURA,PIURA,SL01,PIURA,PIURA,CASTILLA,-5.179311,-80.6188325,AUTORIZADO POR LIC.,SEGUNDA ESPECIALIDAD EN PEDIATRIA,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4751","4751,136,UNIVERSIDAD MARIA AUXILIADORA,PRIVADO,LICENCIA OTORGADA,6,S,UMA-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-11.9783448,-77.0168261,AUTORIZADO POR LIC.,ENFERMERIA,PREGRADO,CARRERA PROFESIONAL,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4752","4752,065,UNIVERSIDAD TECNOLOGICA DEL PERU,PRIVADO,LICENCIA OTORGADA,6,S,UTP-LIMA,LIMA,LIMA,SL05,LIMA,LIMA,LIMA,-12.0624396,-77.0405951,AUTORIZADO POR LIC.,INGENIERIA ELECTRONICA,PREGRADO,CARRERA PROFESIONAL,71,INGENIERIA Y PROFESIONES AFINES,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4753","4753,016,UNIVERSIDAD NACIONAL DE CAJAMARCA,PUBLICO,LICENCIA OTORGADA,6,S01,UNC-CAJAMARCA,CAJAMARCA,CAJAMARCA,S01L01,CAJAMARCA,CAJAMARCA,CAJAMARCA,-7.167159,-78.4965043,AUTORIZADO POR LIC.,GINECOLOGIA Y OBSTETRICIA,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4754","4754,008,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PRIVADO,LICENCIA OTORGADA,10,S,PUCP-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SAN MIGUEL,-12.0693438,-77.080122,AUTORIZADO POR LIC.,PROGRAMA DE SEGUNDA ESPECIALIDAD EN DERECHOS FUNDAMENTALES Y CONSTITUCIONALISMO EN AMERICA LATINA,POSGRADO,SEGUNDA ESPECIALIDAD,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4755","4755,013,UNIVERSIDAD NACIONAL DE PIURA,PUBLICO,LICENCIA OTORGADA,6,S,UNP-PIURA,PIURA,PIURA,SL01,PIURA,PIURA,CASTILLA,-5.179311,-80.6188325,AUTORIZADO POR LIC.,MAESTRIA EN CIENCIAS DEL MAR,POSGRADO,MAESTRIA,83,PESCA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4756","4756,035,UNIVERSIDAD NACIONAL DE UCAYALI,PUBLICO,LICENCIA OTORGADA,6,S,UNU-UCAYALI,UCAYALI,CORONEL PORTILLO,SL01,UCAYALI,CORONEL PORTILLO,CALLERIA,-8.3948987,-74.5776093,AUTORIZADO POR LIC.,MAESTRIA EN GESTION EMPRESARIAL CON MENCION EN FINANZAS PARA EMPRESAS FINANCIERAS,POSGRADO,MAESTRIA,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4757","4757,011,UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA,PUBLICO,LICENCIA OTORGADA,8,S,UNAP-LORETO,LORETO,MAYNAS,SL04,LORETO,MAYNAS,SAN JUAN BAUTISTA,-3.7753954,-73.2897258,AUTORIZADO POR LIC.,MAESTRIA EN ACUICULTURA,POSGRADO,MAESTRIA,83,PESCA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4758","4758,007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,PUBLICO,LICENCIA OTORGADA,8,S,UNALM-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,LA MOLINA,-12.0817493,-76.9431895,AUTORIZADO POR LIC.,INGENIERIA METEOROLOGICA Y GESTION DE RIESGOS CLIMATICOS,PREGRADO,CARRERA PROFESIONAL,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4759","4759,052A,UNIVERSIDAD CESAR VALLEJO,PRIVADO,LICENCIA OTORGADA,6,S,UPCV-LA LIBERTAD,LA LIBERTAD,TRUJILLO,SL01,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,-8.1293904,-79.0433213,AUTORIZADO POR LIC.,MAESTRIA EN PROBLEMAS DE APRENDIZAJE,POSGRADO,MAESTRIA,14,EDUCACION ESPECIAL,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4760","4760,074A,ASOCIACION CIVIL UNIVERSIDAD CATOLICA DE TRUJILLO BENEDICTO XVI,PRIVADO,LICENCIA OTORGADA,6,S,UCT-LA LIBERTAD,LA LIBERTAD,TRUJILLO,SL03,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1016825,-79.041817,AUTORIZADO POR LIC.,SEGUNDA ESPECIALIDAD EN EDUCACION ESPECIAL: AUDICION Y LENGUAJE,POSGRADO,SEGUNDA ESPECIALIDAD,14,EDUCACION ESPECIAL,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4761","4761,007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,PUBLICO,LICENCIA OTORGADA,8,S,UNALM-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,LA MOLINA,-12.0817493,-76.9431895,AUTORIZADO POR LIC.,INGENIERIA AGRICOLA,PREGRADO,CARRERA PROFESIONAL,81,AGRICULTURA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4762","4762,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,PUBLICO,LICENCIA OTORGADA,10,S,UNMSM-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,LIMA,-12.0560257,-77.0844226,AUTORIZADO POR LIC.,EDUCACION INTERCULTURAL BILINGÜE,POSGRADO,MAESTRIA,19,OTROS PROGRAMAS EN EDUCACION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4763","4763,065,UNIVERSIDAD TECNOLOGICA DEL PERU,PRIVADO,LICENCIA OTORGADA,6,S,UTP-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,LIMA,-12.0648091,-77.0363951,AUTORIZADO POR LIC.,INGENIERIA ELECTRONICA,PREGRADO,CARRERA PROFESIONAL,71,INGENIERIA Y PROFESIONES AFINES,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4764","4764,062,UNIVERSIDAD CATOLICA SAN PABLO,PRIVADO,LICENCIA OTORGADA,6,S,UCSP-AREQUIPA,AREQUIPA,AREQUIPA,SL01,AREQUIPA,AREQUIPA,AREQUIPA,-16.3901384,-71.5357161,AUTORIZADO POR LIC.,MAESTRIA EN ADMINISTRACION DE LA EDUCACION,POSGRADO,MAESTRIA,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4765","4765,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,PUBLICO,LICENCIA OTORGADA,10,S,UNMSM-LIMA,LIMA,LIMA,SL02,LIMA,LIMA,LA VICTORIA,-12.0579394,-77.0229596,AUTORIZADO POR LIC.,MEDICINA EN ENFERMEDADES INFECCIOSAS Y TROPICALES,POSGRADO,SEGUNDA ESPECIALIDAD,2,SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4766","4766,019,UNIVERSIDAD DE SAN MARTIN DE PORRES,PRIVADO,LICENCIA OTORGADA,6,S,USMP-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SANTA ANITA,-12.045948,-76.9681914,AUTORIZADO POR LIC.,PSIQUIATRIA DEL NINO Y DEL ADOLESCENTE,POSGRADO,SEGUNDA ESPECIALIDAD,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4767","4767,008,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PRIVADO,LICENCIA OTORGADA,10,S,PUCP-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SAN MIGUEL,-12.0693438,-77.080122,AUTORIZADO POR LIC.,QUIMICA,POSGRADO,MAESTRIA,53,CIENCIAS FISICAS Y QUIMICAS,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4768","4768,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,PUBLICO,LICENCIA OTORGADA,8,F06,UNSAAC-APURIMAC,APURIMAC,ANDAHUAYLAS,F06L01,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,-13.6616515,-73.3767641,AUTORIZADO POR LIC.,MAESTRIA EN EDUCACION MENCION EDUCACION SUPERIOR,POSGRADO,MAESTRIA,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4769","4769,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA,PUBLICO,LICENCIA OTORGADA,10,S,UNSA-AREQUIPA,AREQUIPA,AREQUIPA,SL01,AREQUIPA,AREQUIPA,AREQUIPA,-16.4027681,-71.5255001,AUTORIZADO POR LIC.,AUDITORIA INTEGRAL,POSGRADO,SEGUNDA ESPECIALIDAD,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4770","4770,052A,UNIVERSIDAD CESAR VALLEJO,PRIVADO,LICENCIA OTORGADA,6,F04,UPCV-ANCASH,ANCASH,SANTA,F04L01,ANCASH,SANTA,NUEVO CHIMBOTE,-9.1273857,-78.5112518,AUTORIZADO POR LIC.,ARQUITECTURA,PREGRADO,CARRERA PROFESIONAL,73,ARQUITECTURA Y CONSTRUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4771","4771,054,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS,PRIVADO,LICENCIA OTORGADA,6,S,UPC-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SANTIAGO DE SURCO,-12.104061,-76.962902,AUTORIZADO POR LIC.,MAESTRIA EN EDUCACION,POSGRADO,MAESTRIA,19,OTROS PROGRAMAS EN EDUCACION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4772","4772,055,UNIVERSIDAD PRIVADA DEL NORTE,PRIVADO,LICENCIA OTORGADA,6,S,UPN-LA LIBERTAD,LA LIBERTAD,TRUJILLO,SL01,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.0998876,-79.0190587,AUTORIZADO POR LIC.,PSICOLOGIA,PREGRADO,CARRERA PROFESIONAL,31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4773","4773,054,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS,PRIVADO,LICENCIA OTORGADA,6,S,UPC-LIMA,LIMA,LIMA,SL10,LIMA,LIMA,CHORRILLOS,-12.1964766,-77.0055369,AUTORIZADO POR LIC.,ARQUITECTURA,PREGRADO,CARRERA PROFESIONAL,73,ARQUITECTURA Y CONSTRUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4774","4774,052A,UNIVERSIDAD CESAR VALLEJO,PRIVADO,LICENCIA OTORGADA,6,F04,UPCV-ANCASH,ANCASH,SANTA,F04L01,ANCASH,SANTA,NUEVO CHIMBOTE,-9.1273857,-78.5112518,AUTORIZADO POR LIC.,MAESTRIA EN ARQUITECTURA,POSGRADO,MAESTRIA,73,ARQUITECTURA Y CONSTRUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"4775","4775,122,UNIVERSIDAD NACIONAL DE CANETE,PUBLICO,LICENCIA OTORGADA,6,S,UNCH-LIMA,LIMA,CANETE,SL02,LIMA,CANETE,SAN VICENTE DE CANETE,-13.0642384,-76.352875,AUTORIZADO POR LIC.,CONTABILIDAD,PREGRADO,CARRERA PROFESIONAL,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
